Filename,Label,Contrast_0,Dissimilarity_0,Homogeneity_0,Energy_0,Correlation_0,ASM_0,Entropy_0,Contrast_45,Dissimilarity_45,Homogeneity_45,Energy_45,Correlation_45,ASM_45,Entropy_45,Contrast_90,Dissimilarity_90,Homogeneity_90,Energy_90,Correlation_90,ASM_90,Entropy_90,Contrast_135,Dissimilarity_135,Homogeneity_135,Energy_135,Correlation_135,ASM_135,Entropy_135
20211231_125605 (Custom).jpg,Healthy,452.2265625,1.7734375,0.9930454500891951,0.708196945658112,0.9858516008690065,0.5015429138394788,0.7260978795722259,725.0,2.8431372549019605,0.9888506136007136,0.7053299628035338,0.9773145233097984,0.4974903564284343,0.745729933003918,506.015625,1.984375,0.992218256927998,0.7077856108323806,0.9841612576756462,0.5009604709013661,0.7299113265056687,625.0000000000001,2.450980392156863,0.9903884600006152,0.7063967004314867,0.9804435545774123,0.49899629838049164,0.7387333567053902
20211231_124641 (Custom).jpg,Healthy,451.23046875,1.76953125,0.9930607684810692,0.7089383345878938,0.9858529613917739,0.5025935622482565,0.7249728237440558,841.0,3.298039215686275,0.9870667117768277,0.7045918015866506,0.9736473023820736,0.496449606863122,0.752864397772736,618.57421875,2.42578125,0.9904872786462338,0.7069612698152404,0.9806169731063048,0.49979423701877723,0.7375636124537218,809.0,3.1725490196078434,0.9875588226247962,0.7049320803065082,0.9746500209596879,0.49692923784526133,0.750726195879294
20211231_155427 (Custom).jpg,Healthy,1137.5390625,4.4609375,0.9825063964798696,0.7070038566569115,0.9637776306337743,0.49985445332774653,0.763816393367692,1509.0,5.91764705882353,0.9767938978254853,0.7031319031634459,0.9519472936117799,0.49439447324624947,0.7858423012434794,1023.984375,4.015625,0.9842526931535078,0.7083008586888808,0.96738357063707,0.5016901064194059,0.7565697780311038,1480.0,5.803921568627452,0.9772398732814566,0.7034323807924814,0.9528710489587847,0.4948171143473785,0.7841810417510306
20211231_125059 (Custom).jpg,Healthy,841.69921875,3.30078125,0.9870559588664534,0.7045172112089557,0.9736304768660551,0.4963445008896443,0.7530073847677112,1140.0,4.470588235294118,0.982468551041122,0.7014284737180276,0.9642773906136822,0.4920019037424017,0.7719970345330871,641.484375,2.515625,0.9901349556331314,0.7069020750047872,0.9798883546962732,0.4997105436460737,0.7389244051235697,951.0,3.7294117647058824,0.985375080736936,0.7034294015021227,0.9701999500631577,0.49481292289763457,0.7600653263143788
20211231_123225 (Custom).jpg,Healthy,434.296875,1.703125,0.9933211811429274,0.7094156910459521,0.9863721917174637,0.5032706227022058,0.7232519493342853,897.0,3.5176470588235293,0.9862055177928828,0.704439827487026,0.971856759575517,0.4962354705499511,0.7559240328891563,791.89453125,3.10546875,0.9878218784601545,0.7055643914692987,0.9751538582960031,0.4978211105094419,0.7489278299875342,840.0,3.294117647058824,0.9870820902408268,0.7050436037127586,0.9736452420155095,0.49708648313627346,0.7521636802129441
20211231_155758 (Custom).jpg,Healthy,618.57421875,2.42578125,0.9904872786462338,0.7060970858243275,0.9806650812732007,0.49857309460960775,0.7388037699328678,759.0,2.976470588235294,0.988327745824747,0.7046418664246272,0.976272823870613,0.4965201599183823,0.7485256309091073,669.3750000000001,2.6250000000000004,0.9897060406606588,0.7056358957648758,0.9790723106287188,0.4979220173918987,0.7422786046852148,1028.0,4.031372549019608,0.9841909390090118,0.7017798984604735,0.9678637150488643,0.49249502588319255,0.7661879031325065
20211231_123405 (Custom).jpg,Healthy,621.5625,2.4375,0.9904413234706118,0.7059573038571675,0.9805776880576768,0.4983757148692811,0.7391713766945127,940.0,3.686274509803922,0.9855442438409252,0.702420890789273,0.9706392874126545,0.4933951078171957,0.7609683738855524,726.15234375,2.84765625,0.9888328923238398,0.7046345147611093,0.9773229095912795,0.49650979939262396,0.746788745014459,1008.0,3.952941176470588,0.9844985082889921,0.7016984284619,0.9685153209701656,0.4923806845059002,0.7653378251131591
20211231_161712 (Custom).jpg,Healthy,834.7265625,3.2734375,0.9871631876095714,0.7054969719600666,0.9737807137091695,0.4977259774448229,0.7512408426968431,1465.0,5.745098039215686,0.9774705502414418,0.6989549440945652,0.9539681957236418,0.4885380138742367,0.7900311098169112,1034.94140625,4.05859375,0.9840841908428937,0.7035433046303935,0.9674760482068477,0.4949731814902546,0.7639873030941042,962.0,3.772549019607843,0.9852059176329468,0.7042634558155997,0.9697728341730154,0.4959870151973311,0.7594072267603988
20211231_161345 (Custom).jpg,Healthy,864.6093750000001,3.3906250000000004,0.986703635853351,0.7030219978807757,0.9730095799894827,0.4942399295042773,0.7563216600535478,1169.0,4.584313725490196,0.9820225755851505,0.6998736266835325,0.9634987144627805,0.48982309332716056,0.7755736187807918,634.51171875,2.48828125,0.9902421843762494,0.7058230488617163,0.9801728246385353,0.4981861763044487,0.7400860024789444,1024.0,4.015686274509805,0.984252452865008,0.7014099510798157,0.9680263698243118,0.49197591947378955,0.7665252769695887
20211231_162128 (Custom).jpg,Healthy,1436.3671875,5.6328125,0.9779108789176637,0.7018330524994417,0.9545324227075419,0.49256963358068406,0.7846466421983622,1304.0,5.113725490196078,0.9799464829452835,0.7030958628504287,0.958737369963877,0.4943437923573889,0.7770436272318595,1248.10546875,4.89453125,0.9808060549818535,0.7038866663970461,0.9604827276543617,0.49545643913154647,0.7733989395009153,2129.0,8.349019607843138,0.9672592501460955,0.694498935385495,0.9326314383105296,0.4823287712515859,0.8227478325552839
